,word,count,word_len
24188,smallesttighteneat,1,18
32537,maternallyinclined,1,18
36931,whiteanbspandnbspa,1,18
36556,dividersanbspboxes,1,18
30861,sharpuncomfortable,1,18
22865,actingperformances,1,18
2105,classvideourlinput,65,18
25074,beautifullywritten,1,18
37193,siblingspolygamous,1,18
25162,largestoutsidepole,1,18
32988,lipsynchronization,1,18
34537,apprenticeaccounts,1,18
32271,stretchesexercises,1,18
21848,wonderfulandamazing,1,19
39176,motherfatherbrother,1,19
23664,salescampaginonjune,1,19
28650,rabbitmousefieldrat,1,19
36337,discountpromotional,1,19
40738,betterunfortunately,1,19
21558,idvideoblockraurblu,1,19
30531,comimagesiyiyoqfhos,1,19
21410,engineerphilosopher,1,19
21430,transmitteranbspand,1,19
25585,wideopenandunzipped,1,19
21892,electronicsanbspand,1,19
21921,anticipatingoverall,1,19
40765,controlsneutralizes,1,19
39420,landscapesbuildings,1,19
30511,greatgranddaughters,1,19
27902,mrsconditreadsbooks,1,19
34960,morningeveningnight,1,19
25882,mountingcompression,1,19
41858,leaveabooktakeabook,1,19
32103,assembledisassemble,1,19
30389,comimagesiffnaopcps,1,19
20574,iteventuallyhowever,1,19
24504,superheroesheroines,1,19
27415,remarkableinspiring,1,19
37665,waterbrookmultnomah,1,19
29487,plunkingbackpacking,1,19
28707,cardiofacioutaneous,1,19
41520,specialistlibrarian,1,19
41124,hungriesessentially,1,19
22629,navigatingmediating,1,19
32450,oillubricantplastic,1,19
22200,kickingandrodgenous,1,19
30037,sportochicksmusings,1,19
34235,televisioncomputers,1,19
33702,gabmdshaanbsppaired,1,19
23411,nonplayercharacters,1,19
25426,waterproofresistant,1,19
30990,parentsgrandparents,1,19
38701,idvideoblockrbrrikf,1,19
33826,collarshaltersleads,1,19
36072,somethingdefinetely,1,19
23286,additionsubtraction,1,19
31093,idvideoblockrqtxoyj,1,19
41267,socialpsychological,1,19
40991,returningexchanging,1,19
41120,tacticalsurvivalist,1,19
20422,trainingplyometrics,1,19
20424,comimagesibinxquqcs,1,19
25405,craftsmanshipfinish,1,19
26827,connectionscomputer,1,19
22656,macleodsmackinnonsde,1,20
27717,sicariussicariusness,1,20
23475,idvideoblockrhxjpxvc,1,20
21165,industrialscientific,1,20
23647,learningfrommistakes,1,20
26357,semiautobiographical,1,20
41782,intermediateadvanced,1,20
32144,dockchargerstandcase,1,20
15723,performancepurchased,2,20
22013,sharpenerwhistlefire,1,20
32591,idvideoblockrsezsirm,1,20
23441,silverwareplatescups,1,20
21109,discriptioneditorial,1,20
37523,tarringandfeathering,1,20
24542,travelingsightseeing,1,20
34027,sauvignonmerlotsyrah,1,20
23676,compellingeverything,1,20
29216,peelershredderspiral,1,20
33030,comfortercomfortable,1,20
37848,comrosesleilameacham,1,20
34400,grandchildrenawesome,1,20
25799,idvideoblockrfmuibdn,1,20
34232,adventuremysteryplot,1,20
34007,beautifulcomfortable,1,20
35607,idvideoblockrwqvzwxd,1,20
38877,chargedischargefully,1,20
26375,absorbingcontrolling,1,20
34230,constructionmilitary,1,20
22864,scientifichistorical,1,20
21845,idvideoblockrfiuwvst,1,20
24914,boingboingboingboing,1,20
31172,differentlysometimes,1,20
25004,thoughtfulrespectful,1,20
20982,mkirklandemailmsncom,1,20
25268,idvideoblockrixiusdt,1,20
41247,idvideoblockrxxxqmpm,1,20
27939,idvideoblockreeuezyg,1,20
22323,informationdirection,1,20
35654,goodgrammargoodsense,1,20
39972,looooooonnnnnngggggg,1,20
23714,beginnerintermediate,1,20
23614,distractingconfusing,1,20
37651,heavyonthelovescenes,1,20
35075,readingtodistraction,1,20
22970,electricianelectrical,1,21
39273,idvideoblockrmacswpsq,1,21
21745,idvideoblockrnzwgtyha,1,21
29556,alcoholandtobaccofree,1,21
27094,uptoolatereadingbooks,1,21
29793,idvideoblockrkbmamjqa,1,21
24617,idvideoblockrsdkaxmnm,1,21
36584,pantyhosestockingsetc,1,21
29815,idvideoblockrnrmaerku,1,21
40137,dishonestypaytoreview,1,21
35040,shapeshiftingillusion,1,21
41613,instructionssolutions,1,21
36123,sequencesdisappointed,1,21
37773,shrimpclamscrabsalmon,1,21
22195,decorationstablecloth,1,21
36385,brilliantentertaining,1,21
26139,mccandlessfortunately,1,21
41028,copfirefightergeneric,1,21
36154,separatelyanbspsystem,1,21
37401,idvideoblockrloxwdavw,1,21
38859,creditgiftdebitreward,1,21
31720,businessmanufacturing,1,21
30284,streamorconsciousness,1,21
38887,wideopenandaccessible,1,21
31156,thoroughbuttothepoint,1,21
39399,speedagilityquickness,1,21
28097,idvideoblockrzxauftgr,1,21
33846,idvideoblockrfjiuruji,1,21
28363,idvideoblockrbkeulluu,1,21
22879,timetravelcomingofage,1,21
32830,postmodernistfeminist,1,21
22938,paininthebutttochange,1,21
34231,idvideoblockrqzgyimai,1,21
25183,infrastructureclimate,1,21
23540,idvideoblockruuxzoneu,1,21
40937,idvideoblockruegbuukw,1,21
41847,outfreakingstandingso,1,21
27350,idvideoblockrjwgytpwf,1,21
35365,religiousmythological,1,21
39201,traventravistallisetc,1,21
37147,idvideoblockrkbkezfnf,1,21
24671,idvideoblockrwokywfpo,1,21
34014,idvideoblockrccuofkft,1,21
24704,idvideoblockrxtgbwtmw,1,21
41290,establishingdeveloping,1,22
40274,idvideoblockrxzjhmrfil,1,22
40645,helperteachercaregiver,1,22
40306,idvideoblockrmestviwik,1,22
29407,frontwindowcompartment,1,22
40957,openmindeddeepthinking,1,22
26188,classvideoslateimgurli,1,22
25919,illustrationswonderful,1,22
22486,idvideoblockradszosken,1,22
32766,idvideoblockrndkbymnae,1,22
31355,idvideoblockrqjfkuwarf,1,22
39309,descriptionspictorials,1,22
26039,idvideoblockrahslqisna,1,22
25217,promisedrecommendwould,1,22
37999,commentsclarifications,1,22
28483,idvideoblockrduropuorz,1,22
33375,idvideoblockrhlbtvzqxs,1,22
20450,velcrozipperbuttonsetc,1,22
40059,keyboardtouchpadremote,1,22
39556,idvideoblockrggdndycgb,1,22
25238,eversoelegantlynuanced,1,22
27451,pleasedstraightforward,1,22
30100,idvideoblockrvbxfgjbdt,1,22
27555,professionalcommercial,1,22
41523,sensorsbatterydoorlens,1,22
31016,ivewrittenabooknowwhat,1,22
24877,idvideoblockrzglouwsrq,1,22
41038,idvideoblockrgqzansumf,1,22
36422,hightechspecialaffects,1,22
29980,rubbingmeltingslipping,1,22
34446,idvideoblockrrajrqqjmn,1,22
27162,comfortabledurableworm,1,22
27038,idvideoblockriihkwfvza,1,22
25836,idvideoblockroyspotouk,1,22
22405,idvideoblockrboevzdogp,1,22
34109,idvideoblockrgzuxhbchj,1,22
32820,actionviolencesuspense,1,22
40612,idvideoblockreijsrpifu,1,22
37068,quietstronghandsomeshy,1,22
36719,antiangloprotestantism,1,22
31500,physicianturnedsuicide,1,22
28118,pleeeaaasssssssseeeeee,1,22
29539,greatgreatgreatforever,1,22
36586,dungeonsanddragonstype,1,22
30680,circumferencelengthwise,1,23
23404,manufacturerdistributor,1,23
25982,amazingcharactericeberg,1,23
21335,historicallysignificant,1,23
39167,idvideoblockrcursbzanur,1,23
32665,failedbutthensuccessful,1,23
28914,idvideoblockrxfoomplkci,1,23
23015,idvideoblockromnsosorkp,1,23
22464,idvideoblockrqvwafkogfq,1,23
35231,idvideoblockraxbxtbeari,1,23
20098,idvideoblockrejxqurfiuh,1,23
35752,graphicscolorsdecalsetc,1,23
25245,idvideoblockreqpdhsdmnq,1,23
31816,idvideoblockrerzqwxpctg,1,23
36004,idvideoblockrdklbugwncw,1,23
